category_name,label
category_863,紫花凤梨
category_864,勋章菊
category_865,马鞭草
category_866,牡丹
category_867,昙花
category_868,芭蕉
category_869,厚藤
category_870,马蹄莲
category_871,泽漆
category_872,雅乐之舞
category_873,蛛丝卷绢
category_874,锦晃星
category_875,薄荷
category_876,碰碰香
category_877,含笑花
category_878,女雏
category_879,葱
category_880,曼陀罗
category_881,阔叶十大功劳
category_882,姬星美人
category_883,卷绢
category_884,龟背竹
category_885,忍冬
category_886,鸡毛松
category_887,接骨草
category_888,芫荽
category_889,大花芦莉
category_890,垂柳
category_891,虎耳草
category_892,垂丝海棠
category_893,五爪金龙
category_894,垂叶榕
category_895,紫丁香
category_896,玫瑰
category_897,木茼蒿
category_898,石斛
category_899,珊瑚树
category_900,南瓜
category_901,榆树
category_902,两面针
category_903,野牡丹
category_904,井栏边草
category_905,一点红
category_906,枫香树
category_907,火龙果
category_908,胡桃
category_909,迷迭香
category_910,地涌金莲
category_911,水葫芦
category_912,马兰
category_913,番茄
category_914,荔枝草
category_915,金柑
category_916,毛地黄
category_917,蟹爪兰
category_918,小球玫瑰
category_919,蒲葵
category_920,王棕
category_921,茼蒿
category_922,叶下珠
category_923,金鱼草
category_924,紫花地丁
category_925,西番莲
category_926,大和锦
category_927,菠萝
category_928,樟
category_929,山地玫瑰
category_930,龙眼
category_931,钱串景天
category_932,基及树
category_933,地果
category_934,爆仗竹
category_935,刺桐
category_936,红叶石楠
category_937,南蛇藤
category_938,露娜莲
category_939,生菜
category_940,楝
category_941,番石榴
category_942,益母草
category_943,海金沙
category_944,云实
category_945,李
category_946,胡颓子
category_947,垂枝红千层
category_948,龙柏
category_949,青菜
category_950,椰子
category_951,铁线蕨
category_952,黑王子
category_953,竹柏
category_954,活血丹
category_955,酒瓶兰
category_956,蕺菜
category_957,金盏花
category_958,卫矛
category_959,黄皮
category_960,花叶蔓长春花
category_961,鸳鸯茉莉
category_962,檵木
category_963,山楂
category_964,车前
category_965,棣棠花
category_966,绞股蓝
category_967,野菊
category_968,酸模
category_969,七星莲
category_970,蛇床
category_971,一把伞南星
category_972,白英
category_973,清香木
category_974,地桃花
category_975,金钱木
category_976,白皮松
category_977,茅莓
category_978,薰衣草
category_979,铁苋菜
category_980,火炭母
category_981,红化妆
category_982,扶芳藤
category_983,白檀
category_984,姬胧月
category_985,枳
category_986,金钟花
category_987,紫珍珠
category_988,鳢肠
category_989,草木犀
category_990,积雪草
category_991,黄刺玫
category_992,非植物
category_993,榆树
category_994,瓦松
category_995,油桐
category_996,木瓜
category_997,虎杖
category_998,栓皮栎
